线名,隧道号,隧道名,里程桩号,全景点经度,全景点纬度,全景点高程,所在维修车间,拍摄时间,720云链接
杭温铁路,2,石尖（进口）,K7+341（进口）,119.7793408332,29.7802238888,253.108,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907469
杭温铁路,2,石尖（出口）,K12+480（出口）,119.806775,29.7400802778,318.593,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907470
杭温铁路,3,木匪岭（进口）,K12+723（进口）,119.807765,29.7385463889,317.8,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907471
杭温铁路,3,木匪岭（出口）,K22+964（出口）,119.8631769443,29.6593272222,442.608,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907472
杭温铁路,4,金竹坪（进口）,K23+100（进口）,119.863556389,29.6586663889,443.241,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907473
杭温铁路,4,金竹坪（出口）,K24+441（出口）,119.87042,29.6477330555,422.397,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907474
杭温铁路,5,松坞尖（进口）,K24+541（进口）,119.8705830556,29.6474388888,422.085,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907475
杭温铁路,5,松坞尖（出口）,K27+672（出口）,119.8846263889,29.6212191667,365.083,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907476
杭温铁路,6,古塘源一号（进口）,K27+751（进口）,119.8847519444,29.6209844444,365.451,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907477
杭温铁路,6,古塘源一号（出口）,K28+040（出口）,119.88638,29.6183280556,362.419,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907478
杭温铁路,7,古塘源二号（进口）,K28+114（进口）,119.8864669444,29.6181247222,362.751,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907479
杭温铁路,7,古塘源二号（出口）,K28+941（出口）,119.8911197222,29.6111155555,330.201,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907480
杭温铁路,8,古塘源三号（进口）,K29+141（进口）,119.8915602778,29.6101238889,330.94,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907481
杭温铁路,8,古塘源三号（出口）,K29+380（出口）,119.8928055556,29.6075447222,341.652,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907482
杭温铁路,9,郎家畈（进口）,K29+695（进口）,119.8940588889,29.6056694445,342.058,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907483
杭温铁路,9,郎家畈（出口）,K30+162（出口）,119.896961111,29.6015488889,334.971,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907484
杭温铁路,10,金台尖（进口）,K30+217（进口）,119.8969788888,29.6015172222,334.674,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907485
杭温铁路,10,金台尖（出口）,K36+748（出口）,119.9322566665,29.5511091667,298.757,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907486
杭温铁路,11,前山一号（进口）,K36+973（进口）,119.933305,29.5495266669,298.927,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907487
杭温铁路,11,前山一号（出口）,K37+524（出口）,119.9370666667,29.5443372222,286.388,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907488
杭温铁路,12,前山二号（进口）,K37+644（进口）,119.9365113889,29.5450936111,286.142,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907489
杭温铁路,12,前山二号（出口）,K37+823（出口）,119.9375794445,29.5424288889,303.568,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907490
杭温铁路,13,徐地坞（进口）,K37+887（进口）,119.9377633333,29.5421963888,304.018,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907491
杭温铁路,13,徐地坞（出口）,K39+432（出口）,119.9482886113,29.5311794445,268.845,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907492
杭温铁路,14,东山（进口）,K39+670（进口）,119.9488783332,29.5293494443,269.073,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907493
杭温铁路,14,东山（出口）,K39+897（出口）,119.950655,29.5275452778,258.592,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907494
杭温铁路,15,山星岩（进口）,K40+365（进口）,119.9531580556,29.5246983334,258.577,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907495
杭温铁路,15,山星岩（出口）,K43+690（出口）,119.9738191667,29.5000569444,214.32,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907496
杭温铁路,16,下坤一号（进口）,K51+629（进口）,120.0314002778,29.4510041667,177.651,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907497
